"germplasmName","MWgroup","Institute","FullSampleName"
"IITA-TMS-IBA010085","TrainingPopulations","NRCRI","I010085:250099232"
"IITA-TMS-IBA010085","TrainingPopulations","NRCRI","TMS010085:250107947"
"IITA-TMS-IBA010098","TrainingPopulations","NRCRI","I010098:250300331"
"IITA-TMS-IBA010098","TrainingPopulations","NRCRI","I010098:250099227"
"IITA-TMS-IBA010098","TrainingPopulations","NRCRI","TMS010098:250107948"
"IITA-TMS-IBA011368","TrainingPopulations","NRCRI","I011368:250300318"
"IITA-TMS-IBA011368","TrainingPopulations","NRCRI","I011368:250099299"
"IITA-TMS-IBA011368","TrainingPopulations","NRCRI","TMS011368:250134617"
"IITA-TMS-ZAR920250","TrainingPopulations","NRCRI","Z920250:250304497"
"IITA-TMS-ZAR920250","TrainingPopulations","NRCRI","Z920250:250368007"
"IITA-TMS-ZAR920250","TrainingPopulations","NRCRI","Z920250:250251123"
"IITA-TMS-IBA082425","TrainingPopulations","NRCRI","I082425:250304667"
"IITA-TMS-IBA082425","TrainingPopulations","NRCRI","I082425:250099292"
"IITA-TMS-IBA082425","TrainingPopulations","NRCRI","I082425:250399888"
"NR8212","TrainingPopulations","NRCRI","NR8212:250304638"
"NR8212","TrainingPopulations","NRCRI","NR8212:250399723"
"NR8212","TrainingPopulations","NRCRI","NR8212:250251147"
